,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
3815,TX,3,1,0.6499,999.0,16255.0,12392.0,18259.0,0.5061,0.6009,0.4338,0
3816,TX,2,1,0.7167,1048.0,19524.0,4461.0,18259.0,0.46545000000000003,0.0677,0.3175,3
3817,TX,2,1,0.7167,1048.0,24775.0,7217.0,18259.0,0.46545000000000003,0.0839,0.2953,3
3818,TX,3,2,0.9262,995.0,1051.0,8792.0,18154.0,0.4084,0.9082,0.4204,1
3819,TX,1,3,0.7167,1048.0,48.0,8792.0,12347.0,0.46545000000000003,0.9079,0.8553,2
3820,TX,3,2,0.5823,1050.0,2390.0,8792.0,18791.0,0.5504,0.682,0.5144,1
3821,TX,2,1,0.7167,1048.0,7765.0,3079.0,18259.0,0.46545000000000003,0.199,0.3219,3
3822,TX,1,3,0.7167,1048.0,42.0,8792.0,2893.0,0.46545000000000003,0.7273,0.7273,2
3824,TX,1,3,0.7167,1048.0,316.0,8792.0,27740.0,0.46545000000000003,0.7855,0.8399,2
3825,TX,1,3,0.7167,1048.0,351.0,8792.0,25949.0,0.46545000000000003,0.6905,0.6792,2
3826,TX,3,2,0.507,1302.0,6295.0,8792.0,30408.0,0.7902,0.3247,0.1735,1
3827,TX,1,3,0.7167,1048.0,230.0,8792.0,17340.0,0.46545000000000003,0.9167,0.9624,2
3828,TX,2,3,0.7167,1048.0,10.0,8792.0,33659.0,0.46545000000000003,0.75,0.5714,2
3829,TX,2,1,0.7167,1048.0,3872.0,6903.0,18259.0,0.46545000000000003,0.0834,0.4645,3
3830,TX,3,2,0.3486,1048.0,1669.0,8792.0,21158.0,0.3238,0.7516,0.5322,1
3831,TX,3,2,0.5217,1168.0,1528.0,8792.0,21292.0,0.7008,0.5244,0.259,1
3832,TX,3,1,0.5687,998.0,10715.0,18853.0,18259.0,0.4317,0.601,0.448,0
